index	title	description	category
22	‘Napoleon’ Conquers ‘Wish’ With $3 Million at Tuesday Box Office	"Disney's latest animated feature earned $2.3 million in pre-release preview grosses
The post ‘Napoleon’ Conquers ‘Wish’ With $3 Million at Tuesday Box Office appeared first on TheWrap."	
23	For the first time in 20 years, Family Guy is leaving Fox’s Sunday lineup	A shockwave has just ripped through the world of broadcast television, and things will… never… be… the… same. In fact, you should check on your TV right now and make sure it hasn’t burst into flames at the shock of what has just happened. And while this all m…	
24	Spiders, Snakes, and Trolls: It’s a Very MFL Thanksgiving	‘The Hunger Games: The Ballad of Songbirds and Snakes’ has hit the box office to a soft opening. Plus, ‘The Holdovers’ is also available in theaters, ‘Thanksgiving’ gets a wide release, and the MFL gets its first ever mid-season bonus prize.	
25	'Maestro' chronicles the brilliant Bernstein — and his disorderly conduct	Actors Bradley Cooper and Carey Mulligan give warm, deeply sympathetic performances as wide-ranging musician Leonard Bernstein and his wife, Felicia Montealegre Cohn, in a biopic directed by Cooper.	
26	Here’s How Faithfully Maestro Captures Leonard Bernstein and Felicia Montealegre’s Story	Bradley Cooper and Carey Mulligan star as Bernstein and Felicia Montealegre. Here's how the movie compares to their real story.	
27	Jenna Ortega Not Returning For ‘Scream 7’ Due To ‘Wednesday’ Shooting Schedule – The Dish	EXCLUSIVE: Jenna Ortega, who was a lynchpin draw in getting Scream VI to the horror franchise’s best opening grosses ever at $44.4M stateside, $67M global, isn’t expected to return for Scream VII, we hear from sources. This has nothing to do with the fallout …	
28	Michael Mann’s ‘Ferrari’ To Close Saudi Arabia’s Red Sea Film Fest As ‘Priscilla’ & ‘Origin’ Also Confirmed For 3rd Edition	Michael Mann’s high octane biopic Ferrari has been announced as the closing picture of Saudi Arabia’s third Red Sea International Film Festival, running November 30 to December 9 in the port city of Jeddah. The movie, starring Adam Driver as legendary Italian…	
29	61-Year-Old Psychological Thriller To Get Second Remake, This Time On TV	A psychological thriller twice adapted as a movie is becoming a television show, with Martin Scorsese and Steven Spielberg producing together.	
30	The unintended similarities between Bobby Deol’s Soldier and Shah Rukh Khan’s Jawan: How much has Hindi cinema really changed?	As Bobby Deol's Soldier turns 25 this week, we draw parallels between the film and Shah Rukh Khan's recent blockbuster Jawan and ask the pressing question: Is Hindi cinema truly progressing or circling back to familiar tropes?	
31	Cobra Kai season 6 isn't the last time you'll see Daniel LaRusso as new Karate Kid movie in the works	Cobra Kai star Daniel LaRusso isn't saying goodbye to the martial arts genre just yet.	
32	Nobody Does Weird Animated Kids’ Movies Like Adam Sandler	‘Leo’ is the latest example of the goofy, sarcastic energy the comedian brings to family films. Too bad this Netflix movie isn’t any better	
33	Scott Pilgrim Takes Off review: Netflix’s radical retelling of cult classic is an Eternal Sunshine-level event, and one of the best shows of 2023	Scott Pilgrim Takes Off review: Brilliantly animated with an ambitious story to boot, Netflix's anime retelling of the cult classic film deviates from the source material in creative ways.	
34	One Piece Director Joins Dragon Ball Daima Main Staff, Claim Reports	Dragon Ball Daima has been set to be directed by One Piece Series and Episode Director Aya Komaki. She will be joined by Yoshitaka Yashima, who was the animation director of the Dragon Ball Super and Digimon franchises. The upcoming Dragon Ball series was ann…	
35	A Few Good Men (1992) Streaming: Watch & Stream Online via AMC Plus	If you’re wondering where to stream A Few Good Men online, then you have come to the right place. We have all the streaming details. Directed by Rob Reiner, the film follows the military lawyer, Lieutenant Daniel Kaffee. He has a task of defending two marine …	
36	Matt Bomer Turned Down Role In 'Barbie' Movie, Reveals Reason Why	Matt Bomer could’ve been one of the stars of the Barbie movie! The 46-year-old Fellow Travelers star has recently revealed that he actually turned down a role as one of the Kens in the box office smash hit based on the Mattel dolls. In a new interview, Matt s…	
37	Apex Predator Streaming: Watch & Stream Online via Amazon Prime Video	If you’re wondering where to stream the 2021 film Apex Predator online, then you have come to the right place as we have all the streaming details. Directed by Edward Drake, the film follows a former convict Thomas Malone, who needs to survive a twisted game …	
38	Reign of the Supermen Streaming: Watch & Stream Online via HBO Max	If you’re wondering where to stream the 2019 animated action film Reign of the Supermen, then you have come to the right place as we have all the streaming detail. Directed by Sam Liu, the film follows a swarm of new Supermen being introduced to replace the o…	
39	Tales From the Darkside: The Movie 4K Release Extras Detailed	A stack of extras, old and new, have been recalled for the upcoming Tales From the Darkside 4K UHD/Blu-ray release from Shout! Factory. The anthology horror movie based on the hit television series was directed by John Harrison (Clive Barker’s Book of Blood) …	
40	Power Kids (2009) Streaming: Watch & Stream Online via Amazon Prime Video	If you’re wondering where to stream the 2009 Thai action film Power Kids online, then you have come to the right place, as we have all the streaming details. Directed by Krissanapong Rachata, the film follows four friends who are required to showcase their ac…	
41	Trick or Treat Scooby-Doo! Streaming: Watch & Stream Online via HBO Max	If you’re wondering where to stream the 2022 computer-generated animated film, Trick or Treat Scooby-Doo! online, then you have come to the right place as we have all the streaming details. Directed by Audie Harrison, the film follows the Mystery Incorporatio…	
42	Scooby-Doo 2: Monsters Unleashed Streaming: Watch & Stream Online via HBO Max	If you’re wondering where to stream Scooby-Doo 2: Monsters Unleashed online, then you have come to the right place as we have all the streaming details. Directed by Raja Gosnell, the film follows the Mystery Inc. kids whose presence at their past cases’ celeb…	
43	Scooby-Doo (2002) Streaming: Watch & Stream Online via HBO Max	If you’re wondering where to stream the 2002 film, Scooby-Doo online, then you have come to the right place as we have all the streaming details. Directed by James Gunn, the film follows the group members, Fred, Velma, Daphne, Shaggy, and Scooby-Doo heading t…	
44	Scoob! Streaming: Watch & Stream Online via HBO Max	If you’re wondering where to stream the 2020 animated film Scoob! online, then you have come to the right place as we have all the streaming details. Directed by Tony Cervone, the film follows Shaggy and Scooby-Do, who find themselves in the midst of a life-t…	
45	Fool’s Paradise Streaming: Watch & Stream Online via Hulu	If you’re wondering where to stream Fool’s Paradise online, then you have come to the right place as we have all the streaming details. Directed by Charlie Day, this satirical comedy tells the story of John Doe, whose luck takes a variety of favorable and unp…	
46	Broadchurch Season 1 Streaming: Watch & Stream Online via Amazon Prime Video	Wondering where to stream Broadchurch Season 1 online? Then go no further, as we have all the streaming details. Directed by Chris Chibnal, the series follows Detective Ellie Miller and Inspector Alec Hardy investigating various complex crimes in the English …	
47	Murder in Big Horn Season 1 Streaming: Watch & Stream Online via Amazon Prime Video	Wondering where to stream Murder in Big Horn Season 1 online? Then go no further, as we have all the streaming details. Directed by Razelle Benally and Matthew Galkin, the limited series showcases the disappearances of various Indigenous women in Big Horn Cou…	
48	Ralph Macchio & Jackie Chan Team Up for New 'Karate Kid' Movie	We’re getting a new Karate Kid movie! On Tuesday (November 21), Ralph Macchio and Jackie Chan announced that they will be reprising their roles for a new Karate Kid movie, and they’re currently on a search for a new teen star. “Hi everyone! We’ve got big news…	
49	Daniel Radcliffe's Underrated Comedy Show Cancelled After 4 Seasons	An underrated anthology comedy show starring former Harry Potter actor Daniel Radcliffe alongside Steve Buscemi is cancelled after four seasons.	
50	Apple TV+ shows and movies: Everything to watch on Apple TV Plus	Apple TV+ offers exclusive Apple original TV shows and movies in 4K HDR quality. You can watch across all of your screens and pick up where you left off on any device. Apple TV+ costs $9.99 per month. Here’s every Apple original television show and movie avai…	
51	Dakota Johnson Signs With CAA	EXCLUSIVE: Dakota Johnson has signed with CAA. The agency will rep her in all areas, including her TeaTime Pictures production company.   Johnson, who had been repped by WME, stars alongside Sean Penn in Daddio, which she produced through TeaTime. Christy Hal…	
52	Dunki Budget: Shah Rukh Khan’s Next Movie Is One of the Low-Budget Films in 6 Years, Claim Reports	"Shah Rukh Khan's upcoming film Dunki reportedly marks the lowest budget for a film starring the actor in the last 6 years. 
The post Dunki Budget: Shah Rukh Khan’s Next Movie Is One of the Low-Budget Films in 6 Years, Claim Reports appeared first on ComingSoo…"	
53	Official Trailer for 'Great Photo, Lovely Life' Doc About Family Secrets	"""When I watch these tapes, I see a man with a serious problem who knows he's not going to get caught."" HBO has revealed an official trailer for an acclaimed documentary film titled Great Photo, Lovely Life, featuring a photojournalist examining her own family…"	
54	Napoleon captures $3 million in Thanksgiving Tuesday previews while Wish makes $2.3 million	"Ridley Scott's French epic is conquering IMAX screens and other premium theaters, but will it be enough to make it a hit?
The post Napoleon captures $3 million in Thanksgiving Tuesday previews while Wish makes $2.3 million appeared first on JoBlo."	
55	Brad Pitt’s 2014 WW2 Movie Gets 1 Detail Wrong That Makes Key Tank Battle Pointless, Expert Reveals	An expert analyzes an epic tank battle sequence from 2014’s Fury, which stars Brad Pitt, revealing one key detail that the film gets wrong.	
56	Box Office Predictions: Disney’s Wish and Ridley Scott’s Napoleon lead a crowded Thanksgiving weekend	"Thanksgiving week is upon us and with it brings two new movies aimed at vastly different audiences.
The post Box Office Predictions: Disney’s Wish and Ridley Scott’s Napoleon lead a crowded Thanksgiving weekend appeared first on JoBlo."	
57	The Invitation (2015) Revisited – Horror Movie Review	"The latest episode of the Best Horror Movie You Never Saw video series looks back at Karyn Kusama's 2015 film The Invitation
The post The Invitation (2015) Revisited – Horror Movie Review appeared first on JoBlo."	
58	25 best Thanksgiving movies to stream right now (November 2023)	Need help finding a good movie to watch this Thanksgiving? Check out this list of the 25 best movies to stream over the holiday on Netflix, Max, Hulu, and more.	
59	[Removed]	[Removed]	
60	Joju George’s Malayalam Movie Pulimada Release Date Is Almost Here	One of the much-anticipated collaborations of Mollywood’s power duo, actor Joju George and director A.K. Saajan, is here. Their latest offering, Pulimada, will make its digital premiere on Netflix. The OTT release date is reportedly set for November 23, 2023.…	
61	James Bond: Christopher Nolan Addresses Rumors That He’s Directing a 007 Movie	"Oppenheimer's Christoper Nolan addresses online rumors claiming that he's directing the next James Bond movie.
The post James Bond: Christopher Nolan Addresses Rumors That He’s Directing a 007 Movie appeared first on ComingSoon.net - Movie Trailers, TV & Stre…"	
62	Exclusive Angel Baby Trailer Previews the Psychological Thriller	ComingSoon is debuting an exclusive Angel Baby trailer for the upcoming psychological thriller movie led by Isabel Cueva. The film is set to debut in theaters on Friday, December 15. “A loving wife and her husband move away to a remote cabin to heal from the …	
63	Giancarlo Esposito Joins Destry Allyn Spielberg’s ‘Don’t Feed The Children’	EXCLUSIVE: Giancarlo Esposito (Better Call Saul) has been set for a role in Don’t Feed the Children, the thriller marking the feature directorial debut of Destry Allyn Spielberg. He joins an ensemble that also includes Michelle Dockery and former NFL tight en…	
64	Barry Keoghan Hopes to Work with the Safdies, Barry Jenkins, and Lynne Ramsay: ‘There’s Quite a Few’	"The ""Saltburn"" star wants to reunite with his ""Dunkirk"" director Christopher Nolan as well."	
65	Jeffery Wright on 'American Fiction', 'Rustin', and the Most Personal Role He’s Played Yet	The Tony and Emmy-winner has found strength in flexibility throughout his career, and this fall is tapping into something entirely new.	
66	Docu Series 'Murder In Boston: Roots, Rampage & Reckoning' Trailer	"""We'd been waiting for this case to be uncorked."" A chilling look back at a major moment in Boston history. HBO Docs has revealed an official trailer for a documentary mini-series streaming on Max at the end of this year titled Murder In Boston: Roots, Rampag…"	
67	Aquaman’s Netflix Snub Is A Massive Blow To Jason Momoa’s Final DCEU Movie	A snub concerning Aquaman and streaming giant Netflix is a huge concern for Jason Momoa’s final DCEU movie: Aquaman and the Lost Kingdom.	
68	Frozen's Anna Voice Actor Shares Heartfelt, Photo-Filled Tribute As Disney Movie Reaches 10th Anniversary	Frozen's Anna voice actor, Kristen Bell, shares a photo tribute to the animated film as the 2013 Disney hit reaches its tenth anniversary.	
69	Amazon Cancels 3 Series, Including The Horror of Dolores Roach	Dolores Roach’s killing spree has come to an end. The Horror of Dolores Roach, starring Justina Machado, has been cancelled after just one season at Prime Video, TVLine has learned. Additionally, With Love and Harlan Coben’s Shelter will not return for more s…	
70	The Ring 4K Collection Release Date Gets Delayed	Scream Factory’s The Ring 4K Collection release date has been pushed back to early 2024. Ring in the New Year The collection was originally supposed to be released next month, but the delay will allow the restoration team ”to create the best possible brand-ne…	
71	Napoleon Age Rating Explained: Why Is It Rated ‘R’?	Ridley Scott and Joaquin Phoenix’s Napoleon received an R-rating and fans excited for the film want to know why. Is it safe for kids or teenagers? Here’s the justification behind Napolean’s adult-oriented rating and the answer to whether it is safe for childr…	
72	Vikings film review: Should running back Ty Chandler get more carries?	Vikings running back Ty Chandler is gaining trust from coaches by making plays and refining the nuances of his game, which could lead to a bigger role.	
73	A Good Day to Be a Dog Episode 7 Recap: Did Park Gyu-Young Reveal Her Secret to Cha Eun-Woo?	Starring Cha Eun-Woo and Park Gyu-Young, A Good Day to Be a Dog Episode 7 aired on MBC on Wednesday. The K-drama is about a woman who turns into a dog and a man who fears dogs. Park Gyu-Young’s Han Hae-Na only has ten days left before the curse becomes perman…	
74	A Good Day to Be a Dog Episode 7 Trailer Reveals Cha Eun-Woo’s Single-Minded Focus on Park Gyu-Young	A Good Day To Be a Dog episode 7 preview trailer has recently been released ahead of its airing. Starring Cha Eun-Woo and Park Gyu-Young, the K-drama is a love story of a math teacher who fears dogs and his colleague who turns into a dog. As Han Hae-Na, Park …	
75	Moon in the Day Episode 7 Trailer: Kim Young-Dae Is Hurt	ENA recently released a new trailer preview of Moon in the Day episode 7. Starring Kim Young-Dae and Pyo Ye-Jin, the K-drama is a time-slip romance drama of a doomed pair. In the previous episode, Do Ha (Young-Dae) revealed to Kang Young-Hwa (Ye-Jin) that he …	
76	Michael Fassbender Was Entirely CGI In 1 Surprising The Killer Scene, VFX Breakdown Video Reveals	An illuminating VFX breakdown video for The Killer reveals that one surprising sequence featured an entirely CGI version of Michael Fassbender.	
77	Shah Rukh Khan Leads IMDb Top 10 List Of 2023’s Most Popular Indian Stars	IMDb has announced its list of the year’s most popular Indian stars, with Shah Rukh Khan landing in first place. Khan has had quite a year, leading two major blockbusters, Jawan and Pathaan, which are respectively the No. 2 and 3 biggest Hindi movies ever wor…	
78	"Frasier Season 1 E08 ""The B Story"" Images: Frasier & David's Dilemmas"	What better way to keep the family quiet this Christmas than to have them huddled around the television for this week's episode of Joe Cristalli (Life in Pieces) & Chris Harris's (How I Met Your Mother) Kelsey Grammer-starring Frasier? Just to make sure that …	
79	"Community: Harmon ""Really Excited"" About Script: ""Going to Be Great"""	It was back in October when we last checked in on how things were going with Peacock's upcoming Dan Harmon & Andrew Guest-written, Joel McHale (Jeff), Gillian Jacobs (Britta), Danny Pudi (Abed), Alison Brie (Annie), Ken Jeong (Ben Chang), Jim Rash (Craig Pelt…	
80	'Just the beginning of the process': Wish producer hints at long road ahead for Frozen 3 and 4	Wish's co-director and producer confirm Frozen 3 and 4 are on the way, but fans shouldn't expect them any time soon.	
81	‘The Boy and the Heron’ Is So Personal, Hayao Miyazaki Needed a Year to Grieve Before Pivoting in a New Direction	Miyazaki came out of retirement for his first film in a decade, about his friendships at Ghibli with the late co-founder/director Takahata and co-founder/producer Suzuki.	
82	A Banned Book on Racism Becomes a Gripping Netflix Documentary	Author Ibram X. Kendi and filmmaker Roger Ross Williams hope their Netflix doc ‘Stamped From the Beginning’ will raise some big questions.	
83	2023 movies to stream while finishing your Thanksgiving leftovers	From acclaimed dramas to fantasy action, here are 10 new films to stream this holiday break.	
84	Jenna Ortega Is Not Returning for 'Scream 7' & the Reason Is Unrelated to Melissa Barerra's Firing	Jenna Ortega is not going be starring in Scream VII. The 21-year-old actress isn’t expected to return as Tara Carpenter in the film due to her shooting schedule for her hit Netflix series Wednesday, via Deadline. Keep reading to find out more… The departure f…	
85	‘Godzilla Minus One’ Movie Review	Witnessing a shell of a man step into his own power while staring death in the eye, director Takashi Yamazaki was able to turn a $15 million monster movie into a priceless soul moving movie experience that audiences won’t soon forget.	
86	Barbie: Matt Bomer Explains Why He Turned Down Ken Role	In a recent interview with Vanity Fair, Golden Globe winner Matt Bomer has confirmed that he nearly starred as one of the Kens in Greta Gerwig’s live-action Barbie movie. He recalled the casting process for the blockbuster hit, revealing that his audition tap…	
87	How Old Was Adnan Syed When He Was Convicted?	On February 9, 1999, the body of an 18-year-old high school student, named Hae Min Lee, was discovered in Leakin Park in Baltimore, Maryland. The last time Lee was seen alive was on January 13, 1999. The victim was of Korean-American origin. According to Biog…	
88	What Was Cleveland Kidnapper Ariel Castro’s Cause of Death?	Ariel Castro was reportedly behind the infamous Cleveland kidnappings took place between 2002 and 2004. He was born to Pedro Castro and Lillian Rodriguez on July 10, 1960, in Duey, Yauco, Puerto Rico. At the time of his arrest, the convict was 52 years old. B…	
89	"""Franchise Has Only Given Me Love"": Katrina On Tiger 3s Box Office Crores"	"Katrina said, ""Celebrating this success and continued audience support is priceless"""	
90	NEW Raunchy ‘Pirates of the Caribbean’ Romance Storyline Confirmed	If you are a fan of Pirates of the Caribbean, as well as romance novels, this new story may be perfect for you. However, if you prefer to watch Captain Jack Sparrow drink rum and get himself captured while having to find a way to escape, this new “Pirates” st…	
91	Jackie Burns on playing Céline Dion in parody musical “Titanique”: “What is there not to love?”	"Actor and singer Jackie Burns joins ""CBS Mornings"" to discuss starring as Céline Dion in the parody off-Broadway musical ""Titanique."" Burns discusses transforming into Céline, how she prepares for the improv scenes and why she calls the audience her scene par…"	
92	Rachel Zegler Joins Jennifer Lawrence & More at Saks Fifth Avenue Holiday Window Unveiling With Dior	Rachel Zegler and Jennifer Lawrence stepped out for the Saks Fifth Avenue holiday window display lighting on Monday (November 20) in New York City. The Hunger Games leading ladies joined several other celebs joined Dior for this year’s display, which is calle…	
93	‘We’re All Dudes’: 15 Trivia Tidbits About ‘Good Burger’	By Zanandi Botes Published: November 22nd, 2023	
94	Analysis: A pause in fighting – what’s in it for Hamas?	Hamas can benefit militarily from the ambiguous truce deal, but as an opportunity rather than a necessity.	
95	Tiger 3 Box Office Collection Day 10: Salman Khan's movie becomes all-time biggest Diwali hit	YRF's Tiger 3 becomes the all-time biggest Diwali hit, crossing the  ₹400-crore mark worldwide.	
96	"Video: See the Official Trailer for the First Season of ""Love Is Blind Brazil: After the Altar,"" Plus a New Season of the Original Is Confirmed"	Directed by Cassia Dian, the show arrives on Netflix starting December 20.	
97	​Kartik Aaryan's biggest box office hits​	​Kartik Aaryan's biggest box office hits ​	
98	Fantastic Mr. Fox is the best Thanksgiving movie	Thanksgiving gets totally bulldozed by Christmas, doesn’t it? There are certainly far fewer shows and movies to watch to get in the spirit of the thing. Sure, we’ve got some Thanksgiving episodes and a handful of films explicitly or tangentially about the hol…	
99	‘The Bikeriders’: Focus Features Picks Up Jeff Nichols’ Acclaimed Drama After Disney Declines To Release It	Despite being a relatively big critical hit at the Telluride Film Festival, with many Oscar pundits saying it had plenty of Oscar potential, Disney will not release filmmaker Jeff Nichols’ acclaimed biker drama, “The Bikeriders.” The film was meant to be rele…	
100	Can Apple's Napoleon Bring Ridley Scott And Joaquin Phoenix Box Office Glory?	Can Ridley Scott&amp;#39;s Napoleon conquer the box office when it opens over the Thanksgiving holiday? Or will it suffer an epic defeat?	
101	Aquaman and the Lost Kingdom's Latest Trailer Prepares the Underwater Royal Family for War	Here’s a new look at Aquaman and the Lost Kingdom, the final feature from Warner Bros.’ last era of DC films before we turn over to James Gunn’s new DC Studios franchise world.Read more...	
102	Can Wish Get Disney Animation Studios Back On Track At The Box Office?	Disney Animation hasn&amp;#39;t scored a theatrical hit since 2019, but its latest offering, Wish, is tracking well at the box office.	
103	Batman Movie Collections Are Super Cheap At Amazon For Black Friday	When it comes to cinema, always bet on Batman. DC's resident Caped Crusader has been a big box-office draw for decades now, and for Black Friday, you can save big on some of his greatest adventures. Starting off, no film library would be complete without the …	
104	Drag Me to Hell, now on Netflix, perfected the lost art of Looney Tunes horror	Looking for a great horror movie on Netflix? Watch Drag Me to Hell, an underrated Sam Raimi gem that is as funny as it is scary.	
105	Updates From Doctor Who, Rick and Morty, and More	Beetlejuice 2 has wrapped filming. Josh Heald is open to returning to the “Miyagi-verse” after Cobra Kai. Walking Dead’s Rick and Michonne spinoff gets a premiere date. Plus, what’s next on Monarch: Legacy of Monsters. Spoilers, away!Read more...	
106	Napoleon is the anti-Great Man biopic	Napoleon is a bombastic yet understated biopic where the most compelling war is marriage. Starring Joaquin Phoenix and Vanessa Kirby. In theaters Nov. 22.	
107	‘The Marvels’ Will Become the First MCU Title to Fall Short of $100 Million Domestic	"In happier box-office news, ""The Hunger Games: Ballad of Songbirds and Snakes"" opened well while ""Saltburn"" and ""Fallen Leaves"" had strong limited debuts."	
108	"Iman Vellani On The Marvels Box Office Struggles: ""That's For Bob Iger"""	Iman Vellani, back as Kamala Khan/Ms. Marvel in The Marvels, remains unfazed by the film's box office performance since its November 10 release--it opened to $47 million domestically and just under $100 million worldwide, marking the weakest start for a Marve…	
109	May the weekend box office be ever in The Ballad Of Songbirds And Snakes’ favor	After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did relatively good). The biggest of those big new releases is H…	
110	3 movies leaving Prime Video in November you have to watch	The three movies leaving Prime Video in November 2023 include ones starring Alec Baldwin, Jeff Bridges, and an action thriller from Luc Besson.	
111	Twilight's Unbelievable Box Office Run Was A Painful Loss For Paramount Pictures	15 years ago, Twilight became a box office phenomenon, and yet multiple studios passed on the property, convinced there was no audience. How wrong they were.	
112	The Marvels Star Iman Vellani Says The Box Office Is Disney CEO Bob Iger's Problem	The Marvels&amp;#39; Imran Vellani has wise words for those who wonder what she thinks about the MCU movie&amp;#39;s box office performance.	
113	Eli Roth's Thanksgiving Proves That Horror Always Wins At The Box Office	Thanksgiving has a bit of an advantage at the Thanksgiving box office, but it&amp;#39;s biggest advantage is being a horror movie.	
114	The Marvels Just Had The Biggest Second Weekend Drop Ever For A Superhero Movie	The Marvel Cinematic Universe is good and truly in trouble, with The Marvels collapsing at the box office in its second weekend.	
115	The Hunger Games: The Ballad Of Songbirds And Snakes Flutters Into $45 Million+ Box Office Opening	Snow lands on top at the box office this weekend, with The Hunger Games prequel The Ballad of Songbirds and Snakes debuting at No. 1.	
116	The Marvels Box Office Goes From Bad To Worse With Catastrophic Second Weekend Drop	The Marvels sets another unenviable box office record as it heads for the Marvel Cinematic Universe&amp;#39;s biggest ever second weekend drop.	
