index	title	description	category	keyword
18	What’s Coming to Netflix in December 2023	Highlights include a dozen DC movies, Rebel Moon and the new Money Heist spin-off.		blockbuster movies 2023
19	‘Dune: Part Two’ Moves Up Two Weeks To A March 1, 2024 Theatrical Release	Moviegoers feared the worst in August when Warner Bros. pushed “Dune: Part Two” from its original November 3 release to March 15, 2024. Amid two guild strikes, many considered the move a major one where other studios would soon follow suit and push their rema…		blockbuster movies 2023
20	Wonka: New Behind-The-Scenes Featurette, Tickets On Sale, New Poster	Warner Bros. Discovery has a busy December on the way, with three major movies coming out within weeks or sometimes days of each other. It's unclear if there is room at the box office for all three films, even if they are all looking to snag different corners…		blockbuster movies 2023
1	Janelle Monae Pops in Two-Toned Boots at Beyoncé’s ‘Renaissance’ World Premiere	The musician mixed black-and-white pieces on the red carpet for the occasion.		celebrity interviews
2	Kelly Rowland Revives the Cone Bra with Chainmail Heels at Beyoncé’s ‘Renaissance’ World Premiere	The musician shimmered from head to toe on the red carpet for the occasion.		celebrity interviews
3	Lori Harvey Straps into Reptilian Femme LA Sandals at Beyoncé’s ‘Renaissance’ World Premiere	The influencer soared in sleek stiletto heels for the occasion in Beverly Hills.		celebrity interviews
4	Twilight director reveals who she would cast in reboot	'Twilight' director Catherine Hardwicke says Jenna Ortega and Jacob Elordi would be the 'perfect' Bella and Edward in a reboot.		celebrity interviews
5	Apple TV+ shows and movies: Everything to watch on Apple TV Plus	Apple TV+ offers exclusive Apple original TV shows and movies in 4K HDR quality. You can watch across all of your screens and pick up where you left off on any device. Apple TV+ costs $9.99 per month. Here’s every Apple original television show and movie avai…		celebrity interviews
6	Melissa Barrera dropped from 'Scream 7' after posts about Israel-Hamas war	Franchise star Melissa Barrera has been dropped from 'Scream VII' in the wake of a series of posts about the Israel-Hamas war.		celebrity interviews
7	Candace Cameron Bure's daughter Natasha stars in new Christmas movie	Candace Cameron Bure's daughter Natasha is joining her mother in the family tradition of starring in Christmas movies with her newest, 'A Christmas for the Ages.' See an exclusive first look at the trailer.		celebrity interviews
8	New Jason Bourne movie in the works with director Edward Berger	Jason Bourne could be headed back to the big screen: A sixth installment of the 'Bourne' movie franchise is in the works at Universal, with 'All Quiet on the Western Front' filmmaker Edward Berger in talks to direct.		celebrity interviews
9	Disney Plus Schedule November 20-26: New TV Shows & Movies Being Added	Disney Plus‘s new TV and movie releases for November 20-26 include a new episode of Dancing with the Stars Season 32, a new episode of Marvel Studios’ Assembled, and the Disney Original film The Naughty Nine. On November 21, viewers can stream a new episode o…		celebrity interviews
10	Ballad of Songbirds and Snakes tops box office while The Marvels drops	'The Hunger Games: The Ballad of Songbirds and Snakes' tops the weekend box office with $44 million in North America, and $98.5 million worldwide — still the smallest opening of the franchise.		celebrity interviews
0	Beyoncé Livens Up Sleepy Thanksgiving Weekend In Hollywood As ‘Renaissance’ Makes Splashy World Premiere	We’ve all heard of the first screenings for Oscar contending movies during Thanksgiving weekend, i.e. American Hustle and Joy in years past, however, to literally hold a glittery world premiere post-Turkey day is a rare feat. But that’s exactly what 32x Gramm…		film premiere
1	Destiny's Child Stars Reunite at Beyoncé’s Renaissance Premiere	"The woman that once made up Destiny's Child just had their biggest reunion for a very special occasion.
Four out of five of Beyoncé's former bandmates—trio members Kelly Rowland and Michelle..."		film premiere
2	Here’s Why Taylor Swift Didn’t Attend Beyoncé's Movie Premiere After Bey’s Surprise 'Eras Tour' Premiere Appearance	Taylor Swift is missing the premiere of Beyonce‘s new movie Renaissance: A Film By Beyonce on Saturday night (November 25), but she has a very good reason. If you forgot, the “Break Me Soul” superstar was a surprise celebrity guest on the red carpet when Tayl…		film premiere
3	Here's Why Taylor Swift Didn't Attend Beyonce's Movie Premiere After Bey’s Surprise 'Eras Tour' Premiere Appearance	Taylor Swift is missing the premiere of Beyonce‘s new movie Renaissance: A Film By Beyonce on Saturday night (November 25), but she has a very good reason. If you forgot, the “Break Me Soul” superstar was a surprise celebrity guest on the red carpet when Tayl…		film premiere
4	Taylor Swift’s Concert Film Will Be Available To Rent Sooner Than Expected	Taylor Swift's concert movie Taylor Swift: The Eras Tour will be available to rent starting on December 13—much earlier than initially expected.		film premiere
5	Rick and Morty Season 7 Episode 8 Release Date & Time on Adult Swim	The release date and time for Rick and Morty Season 7 Episode 8 have been revealed. The episode, titled RISE OF THE NUMBERICONS: THE MOVIE, will be available for streaming on Adult Swim. In this episode, a sociopathic scientist returns to his daughter’s home …		film premiere
6	Beyoncé’s ‘Renaissance’ Film: 4 Takeaways From the Premiere	The star skipped the red carpet and slipped into the celebrity-filled screening on Saturday night. But the movie pulls back the curtain — a little. Near the end of her new concert documentary, “Renaissance: A Film by Beyoncé,” Beyoncé states that she’s tired …		film premiere
7	Margot Robbie on if Barbie will get a sequel: ‘we put everything into this one’	As you all know, Barbie was the *It* movie of the summer, and probably of the year. In addition to becoming the highest domestic grossing Warner Bros film of all time, it made more than $1 billion at the worldwide box office. This propelled director Greta Ger…		film premiere
8	Inside Beyoncé’s ‘Renaissance’ Concert Film World Premiere with Lizzo, Halle Bailey, Janelle Monáe and More	Beyoncé captivated Hollywood’s attention Saturday night as the superstar held a stealthily staged world premiere of her concert movie, “Renaissance: A Film by Beyoncé,” at the Samuel Goldwyn Theater in Beverly Hills. The movie, which documents her Renaissance…		film premiere
9	What Behind-the-Scenes Secrets Will Beyoncé’s Renaissance Film Reveal?	"Photo: Kevin Mazur/WireImage for Parkwood (Getty Images)
Beyoncé celebrated Thanksgiving with some of her superstar friends, as she attended the premiere of her new concert movie, Renaissance: A Film by Beyoncé on Saturday. In addition to the 32-time Grammy …"		film premiere
10	Quick News: Nosferatu, Twilight, Hazbin, NCIS	Nosferatu Another photo has arrived from Robert Eggers’ new “Nosferatu” movie, this one showcasing Nicholas Hoult as Jonathan Harker in the movie whilst a blurry Bill Skarsgard as Count Orlok is in the foreground. Lily-Rose Depp, Willem Dafoe and Aaron Taylor…		film premiere
12	Ferrari biopic Starring Adam Driver set to premiere globally, know more about the film	The movie, based on the book Enzo Ferrari — The Man, The Cars, The Races, The Machine takes into the world of Enzo Ferrari and his automobile empire. The movie shows how the automobile giant battles multiple issues including personal and professional.		film premiere
13	Crypto documentary ‘Bull Run’ takes on Bitcoin, tokenization and trading addiction	Crypto documentary ‘Bull Run’ takes on Bitcoin, tokenization and trading addiction		film premiere
14	Does ‘Yellowstone’ Return Tonight? Here’s When ‘Yellowstone’ Season 5, Part 2 Returns To Paramount Network	"""I believe in lovin’ with your whole soul and destroying anything that wants to kill what you love."""		film premiere
15	Suitable Flesh’s director explains the ludicrous kill scene he sat on for a decade	Joe Lynch says the best kill scene in his H.P. Lovecraft body-swap horror-comedy came from a test drive, and a love of Re-Animator-style excess.		film premiere
16	Studio Ghibli Gives Update on Hayao Miyazaki’s Next Movie	In an interview with IndieWire, Studio Ghibli president Toshio Suzuki opened up Hayao Miyazaki’s next movie following The Boy and the Heron. Suzuki revealed that Miyazaki’s latest coming-of-age fantasy has given the acclaimed filmmaker “newfound confidence” t…		film premiere
17	Disney Plus Schedule November 27 – December 3: New TV Shows & Movies Being Added	Disney Plus‘s new TV and movie releases for November 27 to December 3 include the latest Indiana Jones film Indiana Jones and the Dial of Destiny, all episodes of The Shepherd, the special Doctor Who: Wild Blue Yonder, and new episodes of Dancing with the Sta…		film premiere
18	Paramount Plus Schedule November 27 – December 3: New TV Shows & Movies Being Added	Paramount Plus‘s new TV and movie releases for November 27 to December 3 include Death Proof, Braveheart, Trainspotting, and The Addams Family. On December 1, viewers can stream Death Proof, directed by Quentin Tarantino, and the second feature part of the Gr…		film premiere
19	Crypto documentary ‘Bull Run’ takes on Bitcoin, tokenization and trading addiction	“Bull Run” explores one director’s obsession with trading cryptocurrencies during the bull market and how it led her to create a tokenized crypto documentary.		film premiere
20	10 Things Community's Cast & Creator Have Said About The Upcoming Movie	The Community movie has had a tumultuous and somewhat confusing development process but has received several recent positive updates.		film premiere
21	New Godzilla movie earns perfect Rotten Tomatoes score	After hitting the big screen in its native Japan on November 3, Godzilla Minus One is about to make its way overseas – and it's a hit with international critics. (Total Film)		film premiere
22	Why does Warner Bros. keep canceling finished movies?	The studio's decision to scrap multiple completed films isn't sitting well with Hollywood		film premiere
23	Review: Danica McKellar and Damon Runyan star in a new original movie	"Actors Danica McKellar and Damon Runyan star in a new original movie, which will premiere on Great American Family on Saturday, November 25,
The post Review: Danica McKellar and Damon Runyan star in a new original movie appeared first on Digital Journal."		film premiere
24	‘Venom 3’ Production Has Begun Says Tom Hardy	The planned sequel was scheduled for July 2024 until the actors strike began.		film premiere
26	8 Best New Movies Coming to Netflix in December 2023	The movies in our Netflix queue throughout December 2023.		film premiere
27	Despicable Me 4: When and where to watch, check premiere date, cast and plot	The Universal Films are coming with the fourth installment of the Despicable Me franchise -- Despicable Me 4. The trailer of the movie is yet to be released but Gru fans must be eager to know what the beloved villain has in store for them in the new series.		film premiere
28	Watch: Berlin's Iconic Cinema 'Kino International' Celebrates 60 Years	One of the most iconic movie theaters in middle of the city of Berlin, Germany is the Kino International. This classic one-screen movie palace is celebrating its 60th anniversary this year. The cinema was originally built and opened in 1963, the gem of East G…		film premiere
30	Tis The Season: A Hallmark Christmas Movie Outrated Everything On Cable News Last Week	Is it too early to start watching Christmas movies? Millions of people say no, as Hallmark trumps cable news shows ahead of Thanksgiving.		film premiere
31	Jenna Ortega Not Returning For Scream 7 Due To Wednesday Filming	Jenna Ortega is now out of Scream 7. A day after co-star Melissa Barrera was removed from the film for controversial posts relating to the Israel-Hamas War, Deadline reports that Ortega will also not appear in the latest sequel in the slasher franchise. While…		film premiere
33	New Karate Kid Movie With Ralph Macchio & Jackie Chan Will Unify The Franchise	Learn More New Karate Kid Movie With Ralph Macchio & Jackie Chan Will Unify The Franchise It's the cinematic universe no one knew they ever needed. Fans have known for a while a new Karate Kid movie is in the works, scheduled to premiere on December 13, 2024.…		film premiere
34	‘Origin’ Becomes The Highest Tested Movie Ever For NEON & Ava DuVernay	EXCLUSIVE: We are hearing from sources that Origin, the new movie from Oscar nominated filmmaker Ava DuVernay, is not only the highest tested movie in her career, but for NEON, the pic’s distributor too. Origin landed a 91 total positive in the top two boxes …		film premiere
35	Telugu Movie Bhagavanth Kesari OTT Release Date Almost Here	Nandamuri Balakrishna’s Bhagavanth Kesari, has been setting the box office ablaze since its global release on October 19, 2023. Now, fans and movie enthusiasts are eagerly awaiting its digital premiere on Amazon Prime Video. The film’s cast, includes the debu…		film premiere
36	New Regency’s ‘The Bikeriders’ Looking For A New Home	New Regency’s Jeff Nichols directed crime drama The Bikeriders is getting shopped to rival studios and streamers after the movie stepped off its Dec. 1 theatrical release date, Deadline has confirmed. New Regency has a deal at 20th Century Studios/Disney, whi…		film premiere
37	Santa Punishes the Naughty in Festive Horror Movie XXX-Mas	Santa’s Naughty List becomes a blood-splattered hitlist in the lewd and crude festive horror movie XXX-Mas. Bad Santa Director James Dean brings a sordid Christmas story to life where a bloodthirsty Santa wreaks havoc on the set of an eccentric adult film dir…		film premiere
38	A24 Announces New Film Babygirl With Nicole Kidman & Antonio Banderas	A24 has announced a new film titled Babygirl from director Halina Reijn. The film is an erotic thriller that will star Nicole Kidman and Harris Dickinson (The Iron Claw), Antonio Banderas, Sophie Wilde (Talk to Me), and Jean Reno (Leon). Many of these creativ…		film premiere
39	Five Nights at Freddy’s Movie Digital Release Date Revealed for US and UK	The Five Nights at Freddy’s movie digital release date has been revealed, and UK fans frustrated by a lack of at-home viewing options will not have to wait too long. Five Nights at Freddy’s Movie Digital Release Date Prime Video has the Five Nights at Freddy’…		film premiere
40	"Taika Waititi Says His Star Wars Film Will ""Piss People Off"""	It's been fascinating to watch certain sectors of nerds completely change how they feel about director Taika Waititi. At one point, it felt like he was bouncing around in all of the best genres and bringing some new, interesting angles that everyone seemed to…		film premiere
41	Melissa Barrera Out Of Scream 7 After Controversial Comments	Melissa Barrera, the centerpiece of the Scream franchise revival, is out of the seventh installment after posting controversial comments about the Israel-Hamas War, according to a report on THR. Barrera starred in 2022's Scream and this year's Scream VI, whic…		film premiere
42	'Saltburn' Features Some Wild, NSFW Moments: Jacob Elordi & Barry Keoghan React to Those Scenes	Jacob Elordi and Barry Keoghan‘s new movie Saltburn is out now in select theaters and there are some scenes that are definitely not safe for work. The two co-stars are featured in some compromising positions throughout the film, and Barry even goes full front…		film premiere
43	Chicago Style: Andrew Davis on the Making of The Fugitive, Stony Island, and More	An interview with legendary Chicago filmmaker Andrew Davis about the making of The Fugitive, his directorial debut Stony Island, and going to college with Roger.		film premiere
44	Is There a 'Napoleon' Movie (2023) End Credits Scene? Details Revealed!	Joaquin Phoenix‘s new epic movie Napoleon, directed by Ridley Scott, is now playing in theaters and you might be wondering if there’s a post-credits scene. Fans who are checking out the movie will likely want to know if they should stick around after the cred…		film premiere
45	‘The Bikeriders’ Shopping for New Distributor	"The Jeff Nichols film, starring Austin Butler and Tom Hardy, was initially set to be released by 20th Century Studios
The post ‘The Bikeriders’ Shopping for New Distributor appeared first on TheWrap."		film premiere
46	‘The Cello’ Teaser Trailer – Darren Bousman and Tobin Bell Reteam for New Horror Movie	Darren Lynn Bousman (Saw II-IV, Spiral) is back with brand new horror movie The Cello, which had its World Premiere on September 8 in Riyadh, Saudi Arabia at the Muvi Cinemas on famed Riyadh Boulevard. The film will release in North America on December 8. Whi…		film premiere
47	Chupa Cast & Character Guide: Where You've Seen The Actors In The Netflix Family Movie	Netflix's fantasy family adventure Chupa has a cast of well-known stars alongside lesser-known actors and young talents just beginning their careers.		film premiere
48	Strikes Helped The “Community” Film Script	At last report back in early October, the seemingly certain “Community” movie seemed less assured after creator Dan Harmon indicated the WGA and SAG strikes had an impact. At the time he confirmed he was able to get commitments from every cast member (except …		film premiere
49	Robert Pattinson Needed A ‘Makeover’ For Studio To Hire Him For ‘Twilight,’ Director Says	"""He walked over there, I think, with a stained shirt,"" director Catherine Hardwicke recalled of Pattinson's early auditions for his breakout role."		film premiere
51	Everything Coming to Disney+ in December 2023	Disney+ is closing out 2023 with a strong line-up of movies, series, and more. The iconic adventurer Indiana Jones kicks off December with the debut of “Indiana Jones and the Dial of Destiny,” and a behind-the-scenes special, “Timeless Heroes: Indiana Jones &…		film premiere
52	What is the Superman: Legacy cast?	James Gunn, best known for directing the Guardians of the Galaxy movies, has a new gig: he’s in charge of the new DC Cinematic Universe. He’ll kick that off by directing Superman: Legacy, a new film that will once again reboot the story of the Man of Steel. B…		film premiere
53	Timothée Chalamet looks like a Chocolate Factory worker in purple leather outfit at Tokyo ‘Wonka’ premiere	"The ""Dune"" star hit the red carpet in a shiny Prada set that brought to mind his character in the ""Charlie and the Chocolate Factory"" prequel."		film premiere
54	Matt Bomer Turned Down 'Barbie' to Land Role on 'Fellow Travelers'	Matt Bomer just revealed in a new interview that he decided to turn down a role in the Barbie movie that allowed him to star in two of the biggest gay roles of his career.		film premiere
55	Jeff Nichols' The Bikeriders Is Looking for a New Studio After Being Dropped by Disney	Jeff Nichols' The Bikeriders has been dropped by New Regency and Disney and is looking for a new home just a month after being moved off its original Dec. 1 theatrical release date.		film premiere
56	Harmony Korine Finds New Forms for His Twisted Visions	"The artist's newest paintings accompany his experimental film ""Aggro Dr1ft."""		film premiere
57	‘Napoleon’ Director Ridley Scott Dismisses Critics: “The French Don’t Even Like Themselves’	Ridley Scott has been typically dismissive of critics taking issue with his forthcoming movie Napoleon, particularly French ones. While his big-screen epic, starring Joaquin Phoenix as the embattled French emperor with Vanessa Kirby as his wife Josephine, has…		film premiere
59	Hulu Schedule November 20-26: New TV Shows & Movies Being Added	Hulu‘s new TV and movie releases for November 20-26 include the English dub of My Hero Academia: Season 6 Part 2, Fargo Season 5, and Jon Favreau’s Elf. Starting on November 20, viewers can stream My Hero Academia: Season 6 Part 2 anime in English. This seaso…		film premiere
60	The Best New Movies And Shows On Netflix This Week	As Netflix gears up for another exciting week, viewers can look forward to an array of new releases, spanning diverse genres and styles.		film premiere
61	Saturday Evening Movie Thread 11/18/2023 [TheJamesMadison]	Paul Leni In the late silent and early sound era, one of the chief imports to Hollywood was German directors. The most important import was probably Ernst Lubitsch, but there were definitely others such as F.W. Murnau and Fritz Lang...		film premiere
62	What is coming to Netflix this week from November 19 to 25: See the complete list	"Netflix expands its line-up with 14 new movies and shows this week from November 19 to 25. Highlights include the reality show ""Squid Game: The Challenge,"" premiering November 22, and animated movie ""Leo"" on November 21. Other releases feature a Swedish limit…"		film premiere
63	Where Was 'A Merry Scottish Christmas' Filmed? Cast Stories	"Learn all about Hallmark's new film, ""A Merry Scottish Christmas,"" including where it was filmed and the cast involved."		film premiere
64	How to watch the new Godzilla TV show ‘Monarch’ on Apple TV+	The new Godzilla universe TV show Monarch: Legacy of Monsters is available to watch now on Apple TV+. Set after the events of the Godzilla (2014) movie, the show dives deep into the Monarch organization, spanning multiple family timelines. Here’s how to strea…		film premiere
65	Don’t Expect Taylor Swift’s Concert Film To Hit Streamers This Year	Taylor Swift's blockbuster 'Taylor Swift: The Eras Tour,' is still performing well at the box office, and it won't be available to stream until at least January.		film premiere
66	Jeddah-Set Saudi Fantasy Romance ‘HWJN’ To Open Saudi Arabia’s Red Sea Film Festival	Saudi Arabia’s Red Sea International Film Festival will open its third edition, running from November 30 to December 9, with local movie HWJN, a fantasy romance combining Arabian folklore with modern themes that unfolds against the backdrop of the event’s hom…		film premiere
67	The Strangler: Rare 1970 French Giallo Gets Premiere US Theatrical Run	The Strangler, a rare French Giallo thriller by the late Paul Vecchiali, has been restored from 2K by Altered Innocence and begins a theatrical run in US arthouse theatres this week. The film opened in New York City and expanded to Los Angeles and other citie…		film premiere
69	Joaquin Phoenix & Vanessa Kirby Attend UK Premiere of ‘Napoleon’ in London	Joaquin Phoenix and Vanessa Kirby are stepping out for the UK premiere of their new movies. Joaquin, 49, and Vanessa, 35, posed for photos together while arriving at the premiere of Napoleon on Thursday (November 16) held at Odeon Luxe Leicester Square in Lon…		film premiere
70	Spooktacular! Clip Focuses on the Infamous Mouse Girl of Spooky World	The documentary about the Spooky World theme park, Spooktacular!, celebrates a successful festival run by bringing out a new movie clip. The clip focuses on one of Spooky World’s most infamous attractions, Mouse Girl. Aspiring actress Ruth Phelps transformed …		film premiere
71	The Exorcist: Believer Streaming Release Date Announced (And It's Very Soon)	The official Peacock streaming premiere date has been announced for the legacy horror sequel The Exorcist: Believer, which features Ellen Burstyn.		film premiere
72	Lionsgate Drops Mark Wahlberg's Arthur the King Trailer	Arthur the King releases a new heartwarming trailer for the Mark Wahlberg movie.		film premiere
73	Taika Waititi Gives Disappointing Update on His Star Wars Movie	Waititi’s Star Wars movie isn’t coming anytime soon, but it is still in development.		film premiere
74	Monarch: Legacy of Monsters Series-Premiere Recap: Godzilla Returns	Bringing Godzilla to the small screen makes for a premiere that is light on monsters and heavy on human drama and intrigue. Read more in Vulture’s recap of the first episode of Apple TV+’s ‘Monarch: Legacy of Monsters.’		film premiere
75	Historian traces steps of Aussie outback cult classic film ahead of high-definition makeover	Wake in Fright received a frosty reception when it premiered to outback audiences, but a new documentary is giving insight into its rise to a well-regarded piece of Australian cinema history.		film premiere
76	UPDATE: A NEW Pixar Series Has Been DELAYED on Disney+	"Here's an update on the premiere of Pixar's very FIRST streaming series!
The post UPDATE: A NEW Pixar Series Has Been DELAYED on Disney+ first appeared on the disney food blog."		film premiere
77	Scott Pilgrim Takes Off Duo Explains the Netflix Premiere’s Jaw-Dropping Twist Ending: ‘It Felt Like the Right Choice’	Whether your knowledge of the Scott Pilgrim franchise is limited to 2010’s live-action Scott Pilgrim vs. the World movie, or you’ve been a devoted reader of Bryan Lee O’Malley’s graphic novels since 2004, there’s absolutely no way you could have predicted the…		film premiere
79	Taika Waititi On His Upcoming ‘Star Wars’ Film: “It’s Gonna Piss People Off”	No one knows when Taika Waititi‘s “Star Wars” movie will come out, but it’s still in the Lucasfilm pipeline. And outside of being in development, the only thing known about it is that it’ll come after Sharmeen Obaid-Chinoy, Dave Filoni, and James Mangold‘s up…		film premiere
80	‘Fitting In’ Trailer: Maddie Ziegler & D’Pharoah Woon-A-Tai Star In A Coming-Of-Age “Traumedy”	Growing up is hard, but growing up with MRKH syndrome (a rare reproductive condition that causes an underdeveloped uterus) is bloody hell. That’s the premise of upcoming coming-of-age movie “Fitting In” tackles, where Maddie Ziegler‘s teen Lindy discovers she…		film premiere
0	How to Stream the 2023 Gotham Awards	Greta Gerwig, Bradley Cooper, Ben Affleck, Michael Mann, and George C. Wolfe are among the honorees for the awards show taking place November 27 in New York City.		awards season
1	Killers Of The Flower Moon Box Office Crosses Worldwide Milestone Despite Dropping Out Of US Top 10	Killers of the Flower Moon's box office crosses a major milestone despite dropping out of the Top 10 in the US over the Thanksgiving weekend.		awards season
2	This week’s TV: Eddie Murphy makes a deal with an elf, ‘Bookie’ debuts, and the return of Blue Sky shows	Eddie Murphy stars in Amazon’s holiday comedy, “Candy Cane Lane,” as a man driven to win his neighborhood’s home decoration contest.		awards season
3	New on Paramount+ December 2023	Holiday season is in full swing, awards season is on the way, and as ever, December is one of the most exciting months in streaming. So what’s new on Paramount+ this month? New movies streaming in December include Brian Helgeland’s Paramount+ original crime t…		awards season
4	12 Actors Who Appeared In Multiple Disney Channel Original Movies (Not Just Sequels)	Disney Channel is notorious for casting the same actors in several of their shows, and the same is true for Disney Channel Original Movies.		awards season
5	What to stream this week: Harrison Ford, Paris Hilton, Peter Gabriel and Robin Hood battles robots	This week’s new entertainment releases include albums from Dove Cameron and Peter Gabriel, Harrison Ford’s last hurrah as Indiana Jones swings onto Disney+ and Elvis will be honored with a starry special “Christmas at Graceland” featuring Post Malone, ...		awards season
7	Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office	Napoleon is battling Disney&amp;#39;s Wish for second place at the Thanksgiving box office, as Apple Original Films makes another bid for awards season prestige.		awards season
8	Estranged Kyle Richards and Mauricio Umansky Reunite on Thanksgiving	Matt Winkelmeyer/2021 MTV Movie and TV Awards/Getty Images Kyle Richards and estranged husband Mauricio Umansky set aside their marital drama for the holidays. Umanksy, 53, gave fans a glimpse into his Thanksgiving celebration on Thursday, November 23 — and R…		awards season
10	Movies to watch in December, from 'Wonka' to 'The Color Purple'	A month for Beyoncé, Godzilla and Willy Wonka		awards season
11	Will there be Barbie 2? Margot Robbie reveals details about the sequel	Following the success of the initial Barbie movie, the excitement for a sequel is palpable. As fans eagerly await news about Barbie 2, Margot Robbie, the movie's star and a key figure in its success revealed the details about the possibility.		awards season
12	The strange $55 million saga of a Netflix series you will never see	The project with Rinsch has turned into a costly fiasco, a microcosm of the era of profligate spending that Hollywood studios now are scrambling to end. Netflix burned more than $55 million on Rinsch's show and gave him near-total budgetary and creative latit…		awards season
13	What to stream this week: Harrison Ford, Paris Hilton, Peter Gabriel and Robin Hood battles robots	This week’s new entertainment releases include albums from Dove Cameron and Peter Gabriel, Harrison Ford’s last hurrah as Indiana Jones swings onto Disney+ and Elvis will be honored with a starry special “Christmas at Graceland” featuring Post Malone, Alanis …		awards season
14	Israeli films, TV shows win prizes and fans worldwide	A TV series about an Israeli president's rape and harassment of women wins prize in major French festival.		awards season
15	Spiders, Snakes, and Trolls: It’s a Very MFL Thanksgiving	‘The Hunger Games: The Ballad of Songbirds and Snakes’ has hit the box office to a soft opening. Plus, ‘The Holdovers’ is also available in theaters, ‘Thanksgiving’ gets a wide release, and the MFL gets its first ever mid-season bonus prize.		awards season
16	Top Makoto Shinkai Movies: Weathering With You, Your Name, and More	The Makoto Shinkai movies are famous for several distinctive features and thematic representations. His reputation as a masterful storyteller and animator is quite evident in the way he directs his movies. From stunning animation and aesthetic visuals to inno…		awards season
17	10 Best Noah Reid Movies & TV Shows Ranked	While he gained huge exposure with Schitt's Creek, the best Noah Reid movies and TV shows also include the sci-fi and mystery genres.		awards season
18	Christmas Video Games To Play This Holiday Season	As Old Man Winter closes in and various holiday scents whisper throughout our homes, millions find themselves cozying up with classic holiday-themed movies and TV ... Read More		awards season
